user_id,timestamp,event_type,duration_seconds,date,duration_minutes,weekday
u0166,2026-02-28 10:29:30,click,46,2026-02-28,0.7666666666666667,Saturday
u0027,2026-02-09 22:48:02,click,388,2026-02-09,6.466666666666667,Monday
u0037,2026-03-18 17:19:57,click,131,2026-03-18,2.183333333333333,Wednesday
u0091,2026-03-02 01:46:26,login,117,2026-03-02,1.95,Monday
u0165,2026-04-16 01:56:21,login,84,2026-04-16,1.4,Thursday
u0095,2026-03-24 14:15:27,login,88,2026-03-24,1.4666666666666666,Tuesday
u0135,2026-04-18 04:12:44,click,118,2026-04-18,1.9666666666666666,Saturday
u0024,2026-03-03 11:34:42,click,31,2026-03-03,0.5166666666666667,Tuesday
u0159,2026-01-23 05:04:50,view,142,2026-01-23,2.3666666666666667,Friday
u0140,2026-04-13 09:02:49,click,89,2026-04-13,1.4833333333333334,Monday
u0073,2026-02-10 11:15:55,login,62,2026-02-10,1.0333333333333334,Tuesday
u0188,2026-02-13 13:07:59,login,115,2026-02-13,1.9166666666666667,Friday
u0093,2026-03-16 08:22:52,click,49,2026-03-16,0.8166666666666667,Monday
u0147,2026-01-14 18:39:44,view,31,2026-01-14,0.5166666666666667,Wednesday
u0098,2026-01-11 18:25:18,click,5,2026-01-11,0.08333333333333333,Sunday
u0078,2026-03-08 00:17:50,view,42,2026-03-08,0.7,Sunday
u0139,2026-04-04 07:10:18,click,18,2026-04-04,0.3,Saturday
u0030,2026-02-19 20:50:13,click,12,2026-02-19,0.2,Thursday
u0192,2026-02-25 03:10:40,click,48,2026-02-25,0.8,Wednesday
u0121,2026-02-19 21:22:52,view,237,2026-02-19,3.95,Thursday
u0081,2026-03-05 23:59:17,click,22,2026-03-05,0.36666666666666664,Thursday
u0133,2026-04-06 10:54:37,click,159,2026-04-06,2.65,Monday
u0023,2026-03-03 08:17:09,click,13,2026-03-03,0.21666666666666667,Tuesday
u0159,2026-03-08 00:25:29,view,244,2026-03-08,4.066666666666666,Sunday
u0040,2026-04-10 11:39:35,purchase,21,2026-04-10,0.35,Friday
u0162,2026-01-09 06:03:03,login,34,2026-01-09,0.5666666666666667,Friday
u0187,2026-01-16 23:12:58,click,32,2026-01-16,0.5333333333333333,Friday
u0173,2026-03-30 02:57:30,click,87,2026-03-30,1.45,Monday
u0161,2026-03-16 21:26:37,purchase,11,2026-03-16,0.18333333333333332,Monday
u0063,2026-03-03 18:33:00,click,30,2026-03-03,0.5,Tuesday
u0013,2026-04-16 05:14:49,click,18,2026-04-16,0.3,Thursday
u0091,2026-03-01 05:29:09,view,30,2026-03-01,0.5,Sunday
u0001,2026-01-18 10:49:22,login,36,2026-01-18,0.6,Sunday
u0095,2026-04-03 19:16:32,login,23,2026-04-03,0.38333333333333336,Friday
u0114,2026-02-14 03:48:58,click,297,2026-02-14,4.95,Saturday
u0069,2026-01-23 22:06:18,click,125,2026-01-23,2.0833333333333335,Friday
u0114,2026-01-23 05:36:59,purchase,184,2026-01-23,3.066666666666667,Friday
u0114,2026-04-11 03:52:33,click,62,2026-04-11,1.0333333333333334,Saturday
u0178,2026-03-22 01:31:33,click,80,2026-03-22,1.3333333333333333,Sunday
u0091,2026-01-19 10:41:04,view,179,2026-01-19,2.9833333333333334,Monday
u0172,2026-04-09 09:52:41,purchase,8,2026-04-09,0.13333333333333333,Thursday
u0089,2026-03-03 22:33:49,view,87,2026-03-03,1.45,Tuesday
u0152,2026-02-14 18:25:29,purchase,24,2026-02-14,0.4,Saturday
u0159,2026-02-17 15:00:44,click,193,2026-02-17,3.216666666666667,Tuesday
u0105,2026-02-26 11:24:34,click,8,2026-02-26,0.13333333333333333,Thursday
u0064,2026-04-16 01:08:14,click,34,2026-04-16,0.5666666666666667,Thursday
u0032,2026-04-30 19:55:15,click,70,2026-04-30,1.1666666666666667,Thursday
u0069,2026-02-26 17:54:52,view,68,2026-02-26,1.1333333333333333,Thursday
u0175,2026-01-27 09:45:38,view,612,2026-01-27,10.2,Tuesday
u0166,2026-02-23 02:34:52,click,184,2026-02-23,3.066666666666667,Monday
u0085,2026-03-28 00:24:18,view,58,2026-03-28,0.9666666666666667,Saturday
u0089,2026-02-13 02:05:56,login,42,2026-02-13,0.7,Friday
u0173,2026-01-06 07:58:07,view,13,2026-01-06,0.21666666666666667,Tuesday
u0173,2026-03-19 04:03:30,purchase,216,2026-03-19,3.6,Thursday
u0124,2026-04-21 00:30:29,purchase,69,2026-04-21,1.15,Tuesday
u0167,2026-04-12 03:57:09,view,94,2026-04-12,1.5666666666666667,Sunday
u0080,2026-04-03 05:38:43,view,346,2026-04-03,5.766666666666667,Friday
u0067,2026-02-28 06:58:20,view,100,2026-02-28,1.6666666666666667,Saturday
u0171,2026-04-22 22:58:09,purchase,16,2026-04-22,0.26666666666666666,Wednesday
u0118,2026-01-19 12:34:24,purchase,273,2026-01-19,4.55,Monday
u0133,2026-04-10 13:03:00,purchase,140,2026-04-10,2.3333333333333335,Friday
u0186,2026-02-26 11:20:45,purchase,50,2026-02-26,0.8333333333333334,Thursday
u0110,2026-03-13 19:40:19,view,150,2026-03-13,2.5,Friday
u0133,2026-02-06 02:07:01,click,64,2026-02-06,1.0666666666666667,Friday
u0059,2026-02-13 13:49:02,click,7,2026-02-13,0.11666666666666667,Friday
u0157,2026-04-14 11:41:30,click,106,2026-04-14,1.7666666666666666,Tuesday
u0049,2026-01-29 14:31:19,login,16,2026-01-29,0.26666666666666666,Thursday
u0135,2026-02-28 13:53:55,view,26,2026-02-28,0.43333333333333335,Saturday
u0060,2026-02-03 15:45:44,login,50,2026-02-03,0.8333333333333334,Tuesday
u0009,2026-01-21 23:42:23,click,6,2026-01-21,0.1,Wednesday
u0179,2026-01-28 13:59:16,purchase,51,2026-01-28,0.85,Wednesday
u0073,2026-04-26 07:17:18,login,41,2026-04-26,0.6833333333333333,Sunday
u0077,2026-01-09 10:25:57,click,119,2026-01-09,1.9833333333333334,Friday
u0009,2026-02-05 04:58:10,purchase,138,2026-02-05,2.3,Thursday
u0094,2026-01-20 12:36:24,purchase,15,2026-01-20,0.25,Tuesday
u0137,2026-04-14 19:44:37,purchase,58,2026-04-14,0.9666666666666667,Tuesday
u0179,2026-03-21 22:25:18,login,82,2026-03-21,1.3666666666666667,Saturday
u0074,2026-02-04 15:07:00,view,16,2026-02-04,0.26666666666666666,Wednesday
u0100,2026-01-03 17:53:58,view,155,2026-01-03,2.5833333333333335,Saturday
u0183,2026-03-30 04:43:27,purchase,113,2026-03-30,1.8833333333333333,Monday
u0103,2026-02-06 05:14:19,click,195,2026-02-06,3.25,Friday
u0155,2026-04-19 10:26:44,login,18,2026-04-19,0.3,Sunday
u0148,2026-03-06 21:21:41,view,18,2026-03-06,0.3,Friday
u0098,2026-01-25 06:06:01,view,36,2026-01-25,0.6,Sunday
u0045,2026-02-27 10:06:53,view,39,2026-02-27,0.65,Friday
u0055,2026-01-13 10:09:40,login,395,2026-01-13,6.583333333333333,Tuesday
u0196,2026-04-02 04:16:30,login,13,2026-04-02,0.21666666666666667,Thursday
u0003,2026-02-15 07:15:03,view,13,2026-02-15,0.21666666666666667,Sunday
u0005,2026-01-17 03:38:09,purchase,35,2026-01-17,0.5833333333333334,Saturday
u0103,2026-02-24 20:30:22,click,74,2026-02-24,1.2333333333333334,Tuesday
u0061,2026-03-14 18:10:03,click,293,2026-03-14,4.883333333333334,Saturday
u0047,2026-02-20 22:53:16,purchase,119,2026-02-20,1.9833333333333334,Friday
u0184,2026-04-12 06:18:37,click,23,2026-04-12,0.38333333333333336,Sunday
u0005,2026-04-22 01:51:15,view,21,2026-04-22,0.35,Wednesday
u0022,2026-01-11 10:20:06,click,25,2026-01-11,0.4166666666666667,Sunday
u0157,2026-04-27 11:00:35,login,29,2026-04-27,0.48333333333333334,Monday
u0065,2026-04-19 12:58:22,view,94,2026-04-19,1.5666666666666667,Sunday
u0175,2026-04-23 22:44:49,purchase,12,2026-04-23,0.2,Thursday
u0025,2026-01-13 06:05:40,login,10,2026-01-13,0.16666666666666666,Tuesday
u0063,2026-03-08 01:08:31,login,21,2026-03-08,0.35,Sunday
u0099,2026-04-07 02:06:29,login,31,2026-04-07,0.5166666666666667,Tuesday
u0111,2026-04-02 02:20:56,click,71,2026-04-02,1.1833333333333333,Thursday
u0053,2026-04-20 05:26:28,view,28,2026-04-20,0.4666666666666667,Monday
u0057,2026-04-24 09:56:56,login,155,2026-04-24,2.5833333333333335,Friday
u0062,2026-01-24 11:39:27,login,52,2026-01-24,0.8666666666666667,Saturday
u0012,2026-04-09 19:35:45,purchase,44,2026-04-09,0.7333333333333333,Thursday
u0014,2026-04-14 23:32:18,view,13,2026-04-14,0.21666666666666667,Tuesday
u0055,2026-03-05 11:05:58,purchase,138,2026-03-05,2.3,Thursday
u0037,2026-03-07 22:50:27,purchase,23,2026-03-07,0.38333333333333336,Saturday
u0065,2026-03-29 07:33:55,login,42,2026-03-29,0.7,Sunday
u0176,2026-02-25 13:40:41,view,99,2026-02-25,1.65,Wednesday
u0173,2026-02-15 04:44:48,view,17,2026-02-15,0.2833333333333333,Sunday
u0129,2026-02-18 07:58:40,login,67,2026-02-18,1.1166666666666667,Wednesday
u0196,2026-04-22 09:39:14,click,13,2026-04-22,0.21666666666666667,Wednesday
u0097,2026-03-02 18:55:29,login,23,2026-03-02,0.38333333333333336,Monday
u0061,2026-01-27 17:03:01,view,54,2026-01-27,0.9,Tuesday
u0027,2026-02-09 19:47:01,view,61,2026-02-09,1.0166666666666666,Monday
u0196,2026-03-16 11:40:58,click,97,2026-03-16,1.6166666666666667,Monday
u0159,2026-03-21 03:05:30,click,207,2026-03-21,3.45,Saturday
u0151,2026-03-08 23:22:38,login,60,2026-03-08,1.0,Sunday
u0002,2026-02-14 12:40:43,purchase,26,2026-02-14,0.43333333333333335,Saturday
u0170,2026-03-11 07:24:25,click,447,2026-03-11,7.45,Wednesday
u0005,2026-01-13 21:06:19,click,11,2026-01-13,0.18333333333333332,Tuesday
u0134,2026-02-22 06:33:24,view,9,2026-02-22,0.15,Sunday
u0163,2026-03-07 16:23:33,view,97,2026-03-07,1.6166666666666667,Saturday
u0096,2026-01-21 10:26:40,click,21,2026-01-21,0.35,Wednesday
u0133,2026-01-10 15:52:13,login,56,2026-01-10,0.9333333333333333,Saturday
u0195,2026-02-04 02:15:33,login,75,2026-02-04,1.25,Wednesday
u0028,2026-03-19 09:47:09,view,91,2026-03-19,1.5166666666666666,Thursday
u0085,2026-03-01 07:21:57,purchase,19,2026-03-01,0.31666666666666665,Sunday
u0138,2026-04-24 23:52:32,login,106,2026-04-24,1.7666666666666666,Friday
u0035,2026-02-14 00:50:11,purchase,80,2026-02-14,1.3333333333333333,Saturday
u0028,2026-02-09 07:51:55,purchase,29,2026-02-09,0.48333333333333334,Monday
u0092,2026-01-12 14:56:16,login,44,2026-01-12,0.7333333333333333,Monday
u0116,2026-02-17 15:19:05,purchase,63,2026-02-17,1.05,Tuesday
u0123,2026-04-06 21:55:33,login,26,2026-04-06,0.43333333333333335,Monday
u0150,2026-04-13 10:59:39,purchase,38,2026-04-13,0.6333333333333333,Monday
u0004,2026-02-07 11:52:58,login,75,2026-02-07,1.25,Saturday
u0034,2026-04-03 07:52:24,login,34,2026-04-03,0.5666666666666667,Friday
u0008,2026-02-15 18:16:28,view,23,2026-02-15,0.38333333333333336,Sunday
u0048,2026-03-16 19:04:25,purchase,4,2026-03-16,0.06666666666666667,Monday
u0168,2026-01-16 22:34:53,login,88,2026-01-16,1.4666666666666666,Friday
u0135,2026-04-29 16:15:00,click,86,2026-04-29,1.4333333333333333,Wednesday
u0011,2026-01-05 10:48:35,purchase,21,2026-01-05,0.35,Monday
u0058,2026-03-24 13:46:07,purchase,4,2026-03-24,0.06666666666666667,Tuesday
u0196,2026-02-01 20:42:38,view,47,2026-02-01,0.7833333333333333,Sunday
u0117,2026-02-17 06:07:35,view,9,2026-02-17,0.15,Tuesday
u0168,2026-02-06 00:59:47,purchase,31,2026-02-06,0.5166666666666667,Friday
u0007,2026-01-20 05:26:06,login,42,2026-01-20,0.7,Tuesday
u0126,2026-03-26 09:03:03,click,199,2026-03-26,3.316666666666667,Thursday
u0159,2026-01-04 07:55:50,click,118,2026-01-04,1.9666666666666666,Sunday
u0148,2026-01-12 01:04:44,purchase,292,2026-01-12,4.866666666666666,Monday
u0047,2026-03-16 17:09:38,login,219,2026-03-16,3.65,Monday
u0079,2026-04-17 05:03:28,click,44,2026-04-17,0.7333333333333333,Friday
u0143,2026-04-21 09:54:12,login,30,2026-04-21,0.5,Tuesday
u0161,2026-02-27 15:04:11,click,37,2026-02-27,0.6166666666666667,Friday
u0111,2026-01-08 00:47:44,purchase,29,2026-01-08,0.48333333333333334,Thursday
u0074,2026-04-22 03:07:19,click,94,2026-04-22,1.5666666666666667,Wednesday
u0090,2026-01-04 20:15:52,view,26,2026-01-04,0.43333333333333335,Sunday
u0193,2026-01-15 22:09:06,click,79,2026-01-15,1.3166666666666667,Thursday
u0171,2026-04-30 13:05:44,purchase,20,2026-04-30,0.3333333333333333,Thursday
u0059,2026-01-16 23:13:49,purchase,66,2026-01-16,1.1,Friday
u0176,2026-01-10 00:25:23,click,102,2026-01-10,1.7,Saturday
u0025,2026-04-12 13:28:29,click,40,2026-04-12,0.6666666666666666,Sunday
u0053,2026-02-25 18:56:14,login,40,2026-02-25,0.6666666666666666,Wednesday
u0031,2026-02-13 02:29:58,login,168,2026-02-13,2.8,Friday
u0011,2026-02-17 14:43:49,purchase,91,2026-02-17,1.5166666666666666,Tuesday
u0056,2026-04-22 17:24:59,click,60,2026-04-22,1.0,Wednesday
u0004,2026-03-22 04:26:35,login,3,2026-03-22,0.05,Sunday
u0011,2026-03-08 01:02:13,click,43,2026-03-08,0.7166666666666667,Sunday
u0027,2026-02-28 21:58:10,click,162,2026-02-28,2.7,Saturday
